"日期","收市","開市","高","低","成交量","升跌（%）"
"2003年2月27日","99.870","99.660","100.160","99.350","1.97K","0.18%"
"2003年2月26日","99.690","100.070","100.210","99.550","0.46K","-0.22%"
"2003年2月25日","99.910","99.680","100.160","99.500","1.20K","0.17%"
"2003年2月24日","99.740","100.190","100.300","99.660","1.00K","-0.51%"
"2003年2月21日","100.250","99.670","100.360","99.530","1.24K","0.60%"
"2003年2月20日","99.650","100.050","100.150","99.550","1.33K","-0.53%"
"2003年2月19日","100.180","100.450","100.550","100.100","0.31K","-0.52%"
"2003年2月18日","100.700","100.370","100.750","100.380","0.53K","0.45%"
"2003年2月14日","100.250","99.700","100.300","99.720","1.15K","0.53%"
"2003年2月13日","99.720","100.100","100.460","99.600","1.71K","-1.00%"
"2003年2月12日","100.730","100.520","100.850","100.250","1.05K","0.11%"
"2003年2月11日","100.620","100.630","101.100","100.400","1.79K","0.14%"
"2003年2月10日","100.480","99.770","100.640","99.860","1.93K","0.71%"
"2003年2月7日","99.770","100.030","100.500","99.700","1.55K","0.08%"
"2003年2月6日","99.690","99.780","99.920","99.510","0.49K","-0.21%"
"2003年2月5日","99.900","99.000","100.340","98.870","2.48K","0.61%"
"2003年2月4日","99.290","99.770","99.860","99.120","1.25K","-0.83%"
"2003年2月3日","100.120","100.460","100.700","100.000","1.35K","-0.02%"
"2003年1月31日","100.140","99.590","100.470","99.570","1.48K","0.39%"
"2003年1月30日","99.750","99.740","100.300","99.650","2.00K","0.22%"
"2003年1月29日","99.530","99.260","99.750","99.150","1.06K","-0.21%"
"2003年1月28日","99.740","99.980","100.000","99.600","1.37K","0.20%"
"2003年1月27日","99.540","99.440","99.990","99.050","1.08K","0.09%"
"2003年1月24日","99.450","99.860","100.150","99.410","1.75K","-0.72%"
"2003年1月23日","100.170","100.350","100.430","99.980","0.91K","-0.36%"
"2003年1月22日","100.530","100.390","100.790","100.400","0.50K","0.06%"
"2003年1月21日","100.470","101.120","101.260","100.400","1.00K","-0.42%"
